Event_Id,Accident_Number,Event_Date,LOCATION,Country,Latitude,Longitude,Injury_Severity,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight
2.02E+13,CEN20LA422,9/23/20,"ST. CLAIRSVILLE, OH",United States,40.011978,-80911844,Non-Fatal,Airplane,N81624,Aeronca,7AC,No,1,Unknown,Personal,Unknown,0,0,0,1,VMC,Unknown
20110104X53752,ANC11LA007,1/3/11,"NEW STUYAHOK, AK",United States,59.451389,-175.373056,Non-Fatal,Airplane,N9001,Beech,E18S-9700,No,2,Reciprocating,Unknown,Air Supply Alaska Inc (dba: Air Supply Alaska),0,0,0,1,VMC,Takeoff
20080116X00061,ANC08CA024,11/29/07,"SEWARD, AK",United States,60.085555,-174.296666,Non-Fatal,Airplane,N1181Y,Piper,PA-18-135,No,1,Reciprocating,Personal,Unknown,0,0,0,2,VMC,Takeoff
20001213X27446,LAX89LA068,12/23/88,"MIDWAY ISLANDS, PO",United States,38.54,-173.24,Non-Fatal,Airplane,N146UA,Boeing,747SP-21,No,4,Turbo Fan,Unknown,United Airlines,0,1,1,220,Unknown,Cruise
20181010X84616,ANC19CA002,10/3/18,"GAMBELL, AK",United States,63.772778,-171.734722,Non-Fatal,Airplane,N575Q,Beech,1900,No,2,Turbo Prop,Unknown,Hageland Aviation,0,0,0,9,IMC,Landing
20090918X00417,ANC09LA104,9/18/09,"SAVOONGA, AK",United States,63.683333,-170.488889,Non-Fatal,Airplane,N349TA,Casa,212-200,No,2,Turbo Prop,Unknown,Bering Air Inc.,0,0,0,2,VMC,Landing
20171226X41907,DCA18CA056,12/23/17,"BETHEL, AK",United States,60.778611,-167,Non-Fatal,Airplane,N935CE,Mcdonnell Douglas,DC 9 33F,No,Unknown,Unknown,Unknown,Everts Air,0,0,0,3,VMC,Takeoff
20070717X00952,ANC07CA053,6/24/07,"DUTCH HARBOR, AK",United States,53.971945,-166.85,Non-Fatal,Airplane,N7811,Grumman,G21A,No,2,Reciprocating,Positioning,Unknown,0,0,0,2,VMC,Takeoff
20080805X01158,LAX08CA204,6/29/08,"ELK RIVER, ID",United States,46.8075,-166.652777,Non-Fatal,Airplane,N83056,Aeronca,7DC,No,1,Reciprocating,Personal,Unknown,0,0,0,1,VMC,Unknown
20200117X71039,ANC20LA015,1/16/20,"DUTCH HARBOR, AK",United States,53.898889,-166.545,Non-Fatal,Airplane,N547LM,Beech,200,No,Unknown,Unknown,Unknown,Aero Air,0,0,1,2,Unknown,Takeoff
20130216X24215,ANC13CA023,2/16/13,"DUTCH HARBOR, AK",United States,53.892777,-166.540277,Non-Fatal,Airplane,N15PR,Piper,PA-31-350,No,2,Reciprocating,Unknown,Grant Aviation Inc (dba: Grant Aviation),0,0,0,3,VMC,Landing
